Amazon store,Start date,End date,Parent ASIN,ASIN,FNSKU,MSKU,Currency code,Average sales price,Units sold,Units returned,Net units sold,Sales,Net sales,Base fulfilment fee per unit,Base fulfilment fee quantity,Base fulfilment fee total,FBA Weight Handling Fee per unit,FBA Weight Handling Fee quantity,FBA Weight Handling Fee total,FBA fulfilment fees per unit,FBA fulfilment fees quantity,FBA fulfilment fees total,FBA removal order fee per unit,FBA removal order fee quantity,FBA removal order fee total,FixedClosingFee per unit,FixedClosingFee quantity,FixedClosingFee total,Inbound transportation charge per unit,Inbound transportation charge quantity,Inbound transportation charge total,Referral fee per unit,Referral fee quantity,Referral fee total,RefundCommissionFee per unit,RefundCommissionFee quantity,RefundCommissionFee total,Sponsored Products charge per unit,Sponsored Products charge quantity,Sponsored Products charge total,Cost of goods sold per unit,Miscellaneous cost per unit,Net proceeds total,Net proceeds per unit
IN,03/25/2024,09/24/2024,B0D92165QK,B0CNH42WXR,,TKC M,INR,499,1,0,1,499,499,,,,,,,,,,,,,10.62,1,10.62,,,,62.29,1,62.29,,,,14.55,8,116.41,,,309.68,309.68
IN,03/25/2024,09/24/2024,B0D92165QK,B0D91ZQFTJ,,TKC M Grey2,INR,499,1,0,1,499,499,,,,,,,,,,,,,10.62,1,10.62,,,,67.72,1,67.72,,,,,,,,,420.66,420.66
IN,03/25/2024,09/24/2024,B0D92165QK,B0CNH32THD,,TKC XL_Pair_FBA,INR,499,1,0,1,499,499,16.52,1,16.52,74.34,1,74.34,16.52,1,16.52,11.8,29,342.2,14.16,1,14.16,,,,64.33,1,64.33,,,,12.32,20,246.42,,,-258.97,-258.97
IN,03/25/2024,09/24/2024,B09CDPY2XB,B09CDPY2XB,,T-KL-ME,INR,799,1,0,1,799,799,,,,,,,,,,,,,35.4,1,35.4,,,,179.14,1,179.14,,,,7.88,10,78.83,,,505.63,505.63
IN,03/25/2024,09/24/2024,B0C6DKV3VQ,B0C6DKV3VQ,,TT-AS-S/M,INR,816.1,1,0,1,816.1,816.1,,,,,,,,,,,,,35.4,1,35.4,,,,170.06,1,170.06,,,,,,,,,610.64,610.64
IN,03/25/2024,09/24/2024,B09Y5D7RZW,B09Y5D7RZW,,Anke Sock_Black_L/XL_PO3_FBA,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,13.64,9,122.75,,,-122.75,
IN,03/25/2024,09/24/2024,B09Y5D2SGS,B09Y5D2SGS,,Anke Sock_Blue_S/M_PO3,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,13.03,9,117.24,,,-117.24,
IN,03/25/2024,09/24/2024,B09Y5KYF71,B09Y5KYF71,,Anke Sock_Grey_L/XL_1,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,21.84,10,218.45,,,-218.45,
IN,03/25/2024,09/24/2024,B09Y5DRLC5,B09Y5DRLC5,,Anke Sock_Grey_L/XL_PO3_FBA,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,16.44,14,230.17,,,-230.17,
IN,03/25/2024,09/24/2024,B09Y5GN4MK,B09Y5GN4MK,,Anke Sock_Grey_S/M_PO3,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,16.62,14,232.69,,,-232.69,
IN,03/25/2024,09/24/2024,B0B1MWQVSQ,B0B1MWQVSQ,,Ankle Sock_Black_L/XL_NC,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,17.4,6,104.41,,,-104.41,
IN,03/25/2024,09/24/2024,B0B1MWQVSQ,B0B1MWQVSQ,,Ankle Sock_Black_L/XL_NC_FBA,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,14.3,13,185.87,,,-185.87,
IN,03/25/2024,09/24/2024,B0CV3VVQLX,B0B1MTTCF8,,Ankle Sock_Black_S/M_NC,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,11.48,2,22.97,,,-22.97,
IN,03/25/2024,09/24/2024,B0CV3VVQLX,B0B1MWZ21J,,Ankle Sock_Blue_L/XL_NC,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,21.12,4,84.5,,,-84.5,
IN,03/25/2024,09/24/2024,B0B1MWV2D3,B0B1MWV2D3,,Ankle Sock_Blue_S/M_NC,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,16.79,12,201.51,,,-201.51,
IN,03/25/2024,09/24/2024,B0B1MXHW4H,B0B1MXHW4H,,Ankle Sock_Grey_L/XL_NC,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
IN,03/25/2024,09/24/2024,B0BY4NBTD6,B0BY4NBTD6,,Arm_T_S/SM,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
IN,03/25/2024,09/24/2024,B09CDL826Y,B09CDL826Y,,B-AL-ME,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
IN,03/25/2024,09/24/2024,B09CDQ6ZDL,B09CDQ6ZDL,,BAL-ME,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
IN,03/25/2024,09/24/2024,B09CDL826Y,B09CDL826Y,,B-AL-ME_new,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
IN,03/25/2024,09/24/2024,B0D541ZKYL,B09LHJFMKP,,BB-KA,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,11.83,15,177.4,,,-177.4,
IN,03/25/2024,09/24/2024,B0D5457JSV,B0C69B4D3K,,BG-CS-S/M,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,15.74,62,975.8,,,-975.8,
IN,03/25/2024,09/24/2024,B0D541ZKYL,B09LMGSBQF,,BG-KA,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,18.91,4,75.64,,,-75.64,
IN,03/25/2024,09/24/2024,B09LM24XCK,B09LM24XCK,,BG-KL,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,17.27,7,120.87,,,-120.87,
IN,03/25/2024,09/24/2024,B0D548TLJB,B0BXX41GQ6,,Black _ pack of 5,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
IN,03/25/2024,09/24/2024,B0D5489TQB,B0BXXF61YM,,Crew_Black_S/M_Pack of 5,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,11.89,6,71.32,,,-71.32,
IN,03/25/2024,09/24/2024,B0D5489TQB,B0C85LRLD5,,Crew_Grey_S/M_Pack of 5,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,
IN,03/25/2024,09/24/2024,B0D5489TQB,B0BTPHHWCR,,Crew Length_Black_Sock_L/XL,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,15.57,4,62.27,,,-62.27,
IN,03/25/2024,09/24/2024,B0C85T4P4D,B0C85T4P4D,,Crew Length_Blue_S/M,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
IN,03/25/2024,09/24/2024,B0D5489TQB,B0BTPJ8YRH,,Crew Length_Grey_Socks_S/M,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,
IN,03/25/2024,09/24/2024,B0D5489TQB,B0BTPTFDWM,,Crew_Length_S/M_Grey&Black_Combo_FBA,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,12.81,2,25.62,,,-25.62,
IN,03/25/2024,09/24/2024,B0D5489TQB,B0BTPTFDWM,,Crew_Length-Socks_S/M_Grey&Black_Combo,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,10.48,11,115.26,,,-115.26,
IN,03/25/2024,09/24/2024,B0D56R1VYX,B09CDMP5G4,,GAL S/M FBA,INR,0,0,2,-2,0,-798,,,,,,,,,,,,,,,,,,,,,,82.6,2,165.2,,,,,,-963.2,481.6
IN,03/25/2024,09/24/2024,B0D5457JSV,B0C6DNXK89,,GG-CS-S/M,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,13.95,40,557.9,,,-557.9,
IN,03/25/2024,09/24/2024,B0D53WL71G,B0C85KL2K5,,GKL,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
IN,03/25/2024,09/24/2024,B09CDN87WM,B09CDN87WM,,G-KL,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,20.22,16,323.6,,,-323.6,
IN,03/25/2024,09/24/2024,B09LMC4VY5,B09LMC4VY5,,GT-KA,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,12.08,7,84.57,,,-84.57,
IN,03/25/2024,09/24/2024,B09JSGSZCQ,B09JSGSZCQ,,GT-KL,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,30.75,11,338.21,,,-338.21,
IN,03/25/2024,09/24/2024,B09JSGSZCQ,B09JSGSZCQ,,GT-KL_1,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,18.29,6,109.72,,,-109.72,
IN,03/25/2024,09/24/2024,B0B697XSYH,B0B697XSYH,,Knee sock_Blue_L/XL,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,8.39,4,33.55,,,-33.55,
IN,03/25/2024,09/24/2024,B0B1MXBJ4J,B0B1MXBJ4J,,Knee Sock_Gray_S/M_NC,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,9.21,5,46.06,,,-46.06,
IN,03/25/2024,09/24/2024,B0CK2FCNRK,B0CK2FCNRK,,N6-UPYV-69IB,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
IN,03/25/2024,09/24/2024,B09Y5GPFRT,B09Y5GPFRT,,RH-TUOV-90FG,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
IN,03/25/2024,09/24/2024,B0B9S2PYWM,B0B6955M94,,Sock_Black_S/M_NC-B-Al-ME_Combo,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,13.04,53,691.34,,,-691.34,
IN,03/25/2024,09/24/2024,B0D53TFG44,B09CDLGTQ2,,T-AL,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
IN,03/25/2024,09/24/2024,B0D53TFG44,B09CDLGTQ2,,T-AL-ME,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
IN,03/25/2024,09/24/2024,B0CNVKYM57,B0CNVKYM57,,TEC L pair,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
IN,03/25/2024,09/24/2024,B0CNVRMX9P,B0CNVMRXNP,,TEC M pair,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
IN,03/25/2024,09/24/2024,B0D5457JSV,B0C697NS7B,,TG-CS-L/XL,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,12.94,30,388.11,,,-388.11,
IN,03/25/2024,09/24/2024,B0D5457JSV,B0C697GTFY,,TG-CS-S/M,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,13.75,33,453.86,,,-453.86,
IN,03/25/2024,09/24/2024,B09CDPY2XB,B09CDPY2XB,,T-KL,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,33.95,9,305.52,,,-305.52,
IN,03/25/2024,09/24/2024,B0D5457JSV,B0C6DMB24R,,TT-CS-L/XL,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,20.69,18,372.48,,,-372.48,
IN,03/25/2024,09/24/2024,B0D5457JSV,B0C6DP2L7Y,,TT-CS-S/M,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,9.36,24,224.6,,,-224.6,
IN,03/25/2024,09/24/2024,B09Y5F2Y1K,B09Y5F2Y1K,,ZB-7BBN-ASJ5,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
