Amazon store,Start date,End date,Parent ASIN,ASIN,FNSKU,MSKU,Currency code,Average sales price,Units sold,Units returned,Net units sold,Sales,Net sales,Base fulfilment fee per unit,Base fulfilment fee quantity,Base fulfilment fee total,FBA Weight Handling Fee per unit,FBA Weight Handling Fee quantity,FBA Weight Handling Fee total,FBA fulfilment fees per unit,FBA fulfilment fees quantity,FBA fulfilment fees total,FBA removal order fee per unit,FBA removal order fee quantity,FBA removal order fee total,FixedClosingFee per unit,FixedClosingFee quantity,FixedClosingFee total,Inbound transportation charge per unit,Inbound transportation charge quantity,Inbound transportation charge total,Referral fee per unit,Referral fee quantity,Referral fee total,RefundCommissionFee per unit,RefundCommissionFee quantity,RefundCommissionFee total,Sponsored Products charge per unit,Sponsored Products charge quantity,Sponsored Products charge total,Cost of goods sold per unit,Miscellaneous cost per unit,Net proceeds total,Net proceeds per unit
IN,03/25/2024,09/24/2024,B0C9JBPV3W,B0C9JBPV3W,,BAL L/XL FBA,INR,416.76,2,0,2,833.52,833.52,,,,,,,,,,,,,10.62,1,10.62,,,,61.21,1,61.21,,,,4.54,1,4.54,,,757.15,378.57
IN,03/25/2024,09/24/2024,B0D5457JSV,B0C6DPMQVC,,BB-CS-L/XL,INR,1042.43,2,0,2,2084.86,2084.86,,,,,,,,,,,,,35.4,2,70.8,,,,210.77,2,421.55,,,,11.22,31,347.67,,,1244.84,622.42
IN,03/25/2024,09/24/2024,B0D5457JSV,B0C6DQWNFH,,BB-CS-S/M,INR,938.86,2,1,1,1877.72,879.72,,,,,,,,,,,,,35.4,2,70.8,,,,191.68,2,383.36,,,,9.38,11,103.23,,,322.33,322.33
IN,03/25/2024,09/24/2024,B0D5457JSV,B0C697SGYD,,BG-CS-L/XL,INR,998,2,1,1,1996,998,,,,,,,,,,,,,35.4,2,70.8,,,,223.75,2,447.5,112.1,1,112.1,16.07,23,369.69,,,-2.09,-2.09
IN,03/25/2024,09/24/2024,B09LMGSBQF,B09LMGSBQF,,BG-KA_FBA,INR,1158.84,2,0,2,2317.68,2317.68,,,,,,,,,,,,,53.69,2,107.38,,,,236.05,2,472.11,,,,19.39,80,1550.84,,,187.35,93.67
IN,03/25/2024,09/24/2024,B09LM24XCK,B09LM24XCK,,BG-KL_FBA,INR,1570.38,2,0,2,3140.76,3140.76,,,,,,,,,,,,,71.98,2,143.96,,,,336.08,2,672.16,,,,14.49,47,681.11,,,1643.53,821.76
IN,03/25/2024,09/24/2024,B0D56R1VYX,B0BXX9LP4P,,Black Sports _ Pack of 5,INR,1499,2,0,2,2998,2998,,,,,,,,,,,,,68.44,2,136.88,,,,336.08,2,672.16,,,,,,,,,2188.96,1094.48
IN,03/25/2024,09/24/2024,B0B8YX88KX,B0B8YX88KX,,BT-AL-ME-L/XL_FBA,INR,520.15,2,0,2,1040.3,1040.3,,,,,,,,,,,,,10.62,2,21.24,,,,72.33,2,144.67,,,,15.97,14,223.65,,,650.74,325.37
IN,03/25/2024,09/24/2024,B0D5489TQB,B0BTPJR7XJ,,Crew Length_Grey_Socks_L/XL,INR,418,2,1,1,836,437,,,,,,,,,,,,,10.62,2,21.24,,,,61.21,2,122.42,,,,10.98,16,175.76,,,117.58,117.58
IN,03/25/2024,09/24/2024,B0D5489TQB,B0BTPJR7XJ,,Crew Length_Grey_Socks_L/XL_FBA,INR,399,2,0,2,798,798,16.52,2,33.04,56.64,2,113.28,16.52,2,33.04,11.8,15,177,14.16,2,28.32,,,,61.21,2,122.42,,,,13.46,28,376.96,,,-53.02,-26.51
IN,03/25/2024,09/24/2024,B0D5489TQB,B0BTPR9MFN,,Crew_Length_L/XL_Grey&Black_Combo_FBA,INR,522.76,2,0,2,1045.52,1045.52,,,,,,,,,,,,,10.62,2,21.24,,,,64.77,2,129.54,,,,,,,,,894.74,447.37
IN,03/25/2024,09/24/2024,B0D5489TQB,B0BTPFXZY2,,Crew Length Socks_Black_S/M,INR,418,2,0,2,836,836,,,,,,,,,,,,,10.62,2,21.24,,,,61.21,2,122.42,,,,6.44,1,6.44,,,685.9,342.95
IN,03/25/2024,09/24/2024,B0D56R1VYX,B09CDMP5G4,,G-AL,INR,349,2,0,2,698,698,,,,,,,,,,,,,10.62,2,21.24,,,,53.54,2,107.08,,,,17.22,20,344.5,,,225.18,112.59
IN,03/25/2024,09/24/2024,B0D56R1VYX,B0B8YZGYGM,,GAL TAL L/XL FBA,INR,509.81,2,0,2,1019.63,1019.63,,,,,,,,,,,,,12.39,2,24.78,,,,68.53,2,137.07,,,,10.69,3,32.06,,,825.72,412.86
IN,03/25/2024,09/24/2024,B09LHM8YNY,B09LHM8YNY,,GB-AL-ME FBA,INR,497.5,2,0,2,995,995,,,,,,,,,,,,,10.62,2,21.24,,,,74.32,2,148.65,,,,,,,,,825.11,412.55
IN,03/25/2024,09/24/2024,B0BY4RY4JS,B0BY4RY4JS,,GCS_L/XL,INR,499,2,1,1,998,499,,,,,,,,,,,,,10.62,2,21.24,,,,48.84,2,97.69,82.6,1,82.6,15.86,11,174.47,,,123,123
